title,playlist,u_n_words,u_valence,u_dominance,u_arousal,u_negative,u_positive,u_joy,u_anger,u_surprise,u_disgust,u_fear,u_sadness,u_trust,u_anticipation,n_words,valence,dominance,arousal,negative,positive,joy,anger,surprise,disgust,fear,sadness,trust,anticipation,s_n_words,s_valence,s_dominance,s_arousal,s_negative,s_positive,s_joy,s_anger,s_surprise,s_disgust,s_fear,s_sadness,s_trust,s_anticipation,joy_ratio,anger_ratio,surprise_ratio,disgust_ratio,fear_ratio,sadness_ratio,trust_ratio,anticipation_ratio,sentiment,artist,wheel_playlist,q1,q2,q3,q4
2 Be Loved (Am I Ready),confidence_boost,506,0.5723829787234042,0.501127659574468,0.5019574468085108,14,32,20.68799999999999,6.172,0.617,1.1789999999999998,4.111,2.646,25.866999999999997,1.2429999999999999,120,0.5723829787234043,0.5011276595744681,0.5019574468085106,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,76,0.5676190476190475,0.5043809523809524,0.518404761904762,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,0.16527555792340023,0.21014621440833484,0.03652400402533594,0.06979222163026105,0.1471023500858344,0.06961463328005683,0.2534185757414314,0.048126442905345415,0.03333333333333333,Lizzo,anger,0.20179956194873616,0.2799384360385959,0.21671698336589124,0.3015450186467768
2 Be Loved (Am I Ready),confidence_boost,506,0.5723829787234042,0.501127659574468,0.5019574468085108,14,32,20.68799999999999,6.172,0.617,1.1789999999999998,4.111,2.646,25.866999999999997,1.2429999999999999,120,0.5723829787234043,0.5011276595744681,0.5019574468085106,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,76,0.5676190476190475,0.5043809523809524,0.518404761904762,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,0.16527555792340023,0.21014621440833484,0.03652400402533594,0.06979222163026105,0.1471023500858344,0.06961463328005683,0.2534185757414314,0.048126442905345415,0.03333333333333333,Lizzo,trust,0.20179956194873616,0.2799384360385959,0.21671698336589124,0.3015450186467768
2 Be Loved (Am I Ready),mood_booster,506,0.5723829787234042,0.501127659574468,0.5019574468085108,14,32,20.68799999999999,6.172,0.617,1.1789999999999998,4.111,2.646,25.866999999999997,1.2429999999999999,120,0.5723829787234043,0.5011276595744681,0.5019574468085106,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,76,0.5676190476190475,0.5043809523809524,0.518404761904762,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,0.16527555792340023,0.21014621440833484,0.03652400402533594,0.06979222163026105,0.1471023500858344,0.06961463328005683,0.2534185757414314,0.048126442905345415,0.03333333333333333,Lizzo,trust,0.20179956194873616,0.2799384360385959,0.21671698336589124,0.3015450186467768
2 Be Loved (Am I Ready),mood_booster,506,0.5723829787234042,0.501127659574468,0.5019574468085108,14,32,20.68799999999999,6.172,0.617,1.1789999999999998,4.111,2.646,25.866999999999997,1.2429999999999999,120,0.5723829787234043,0.5011276595744681,0.5019574468085106,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,76,0.5676190476190475,0.5043809523809524,0.518404761904762,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,0.16527555792340023,0.21014621440833484,0.03652400402533594,0.06979222163026105,0.1471023500858344,0.06961463328005683,0.2534185757414314,0.048126442905345415,0.03333333333333333,Lizzo,anger,0.20179956194873616,0.2799384360385959,0.21671698336589124,0.3015450186467768
2 Be Loved (Am I Ready),happy_hits,506,0.5723829787234042,0.501127659574468,0.5019574468085108,14,32,20.68799999999999,6.172,0.617,1.1789999999999998,4.111,2.646,25.866999999999997,1.2429999999999999,120,0.5723829787234043,0.5011276595744681,0.5019574468085106,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,76,0.5676190476190475,0.5043809523809524,0.518404761904762,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,0.16527555792340023,0.21014621440833484,0.03652400402533594,0.06979222163026105,0.1471023500858344,0.06961463328005683,0.2534185757414314,0.048126442905345415,0.03333333333333333,Lizzo,trust,0.20179956194873616,0.2799384360385959,0.21671698336589124,0.3015450186467768
2 Be Loved (Am I Ready),happy_hits,506,0.5723829787234042,0.501127659574468,0.5019574468085108,14,32,20.68799999999999,6.172,0.617,1.1789999999999998,4.111,2.646,25.866999999999997,1.2429999999999999,120,0.5723829787234043,0.5011276595744681,0.5019574468085106,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,76,0.5676190476190475,0.5043809523809524,0.518404761904762,8,9,2.792,3.55,0.617,1.1789999999999998,2.485,1.176,4.281,0.813,0.16527555792340023,0.21014621440833484,0.03652400402533594,0.06979222163026105,0.1471023500858344,0.06961463328005683,0.2534185757414314,0.048126442905345415,0.03333333333333333,Lizzo,anger,0.20179956194873616,0.2799384360385959,0.21671698336589124,0.3015450186467768
28,idk,206,0.5218461538461538,0.42894871794871803,0.39917948717948715,11,3,0.812,2.025,3.571,1.047,3.235,1.8369999999999997,1.922,4.133,96,0.5218461538461538,0.4289487179487179,0.39917948717948715,7,3,0.812,0.849,1.9770000000000003,1.047,1.5470000000000002,1.8370000000000002,1.922,2.149,61,0.5018571428571428,0.4112285714285713,0.40488571428571424,7,3,0.812,0.849,1.9770000000000003,1.047,1.5470000000000002,1.8370000000000002,1.922,2.149,0.06688632619439869,0.06993410214168039,0.16285008237232293,0.08624382207578253,0.12742998352553542,0.1513179571663921,0.15831960461285008,0.17701812191103788,-0.16666666666666666,Jack Kays,surprise,0.22973640856672162,0.1561779242174629,0.27874794069192754,0.33533772652388794
28,idk,206,0.5218461538461538,0.42894871794871803,0.39917948717948715,11,3,0.812,2.025,3.571,1.047,3.235,1.8369999999999997,1.922,4.133,96,0.5218461538461538,0.4289487179487179,0.39917948717948715,7,3,0.812,0.849,1.9770000000000003,1.047,1.5470000000000002,1.8370000000000002,1.922,2.149,61,0.5018571428571428,0.4112285714285713,0.40488571428571424,7,3,0.812,0.849,1.9770000000000003,1.047,1.5470000000000002,1.8370000000000002,1.922,2.149,0.06688632619439869,0.06993410214168039,0.16285008237232293,0.08624382207578253,0.12742998352553542,0.1513179571663921,0.15831960461285008,0.17701812191103788,-0.16666666666666666,Jack Kays,anticipation,0.22973640856672162,0.1561779242174629,0.27874794069192754,0.33533772652388794
2step,happy_hits,495,0.5453589743589744,0.4665641025641024,0.44632051282051277,17,13,9.811999999999998,2.1839999999999997,1.703,2.375,1.997,4.211,8.666,2.5629999999999997,155,0.5453589743589745,0.4665641025641025,0.44632051282051277,12,5,3.375,1.4489999999999998,1.242,1.617,1.997,3.5589999999999997,3.079,1.4769999999999999,101,0.5415753424657533,0.4617808219178082,0.4506575342465755,12,5,3.375,1.4489999999999998,1.242,1.617,1.997,3.278,3.079,1.4769999999999999,0.18966001685866818,0.0814273672379882,0.0697948862039899,0.09086822141050858,0.11222253441978086,0.2,0.1730261309356561,0.08300084293340826,-0.18064516129032257,Ed Sheeran,sadness,0.25945490306265806,0.17229558864849678,0.3122225344197809,0.25602697386906437
3 Nights,happy_hits,435,0.5516909090909093,0.4650545454545455,0.40527272727272734,9,4,2.043,1.0270000000000001,0.42200000000000004,0.524,0.907,3.145,3.647,2.414,134,0.5516909090909091,0.4650545454545454,0.4052727272727274,8,4,2.043,1.027,0.42200000000000004,0.524,0.641,2.707,2.679,2.414,88,0.549921568627451,0.46531372549019595,0.40515686274509816,8,4,2.043,1.027,0.42200000000000004,0.524,0.641,2.4259999999999997,2.679,2.414,0.16400417435979772,0.08244360600465601,0.033876535281367914,0.04206470257686442,0.05145701212169865,0.21730753793048085,0.21505980573171712,0.1937866259934174,-0.11940298507462686,Dominic Fike,sadness,0.19788070964116564,0.12450830858152043,0.2687645500521795,0.4088464317251345
3 Nights,happy_hits,435,0.5516909090909093,0.4650545454545455,0.40527272727272734,9,4,2.043,1.0270000000000001,0.42200000000000004,0.524,0.907,3.145,3.647,2.414,134,0.5516909090909091,0.4650545454545454,0.4052727272727274,8,4,2.043,1.027,0.42200000000000004,0.524,0.641,2.707,2.679,2.414,88,0.549921568627451,0.46531372549019595,0.40515686274509816,8,4,2.043,1.027,0.42200000000000004,0.524,0.641,2.4259999999999997,2.679,2.414,0.16400417435979772,0.08244360600465601,0.033876535281367914,0.04206470257686442,0.05145701212169865,0.21730753793048085,0.21505980573171712,0.1937866259934174,-0.11940298507462686,Dominic Fike,anticipation,0.19788070964116564,0.12450830858152043,0.2687645500521795,0.4088464317251345
3 outfits,happy_hits,492,0.6244646464646466,0.48546464646464654,0.4283030303030303,8,21,12.692999999999996,1.6460000000000001,1.1090000000000002,0.82,4.3740000000000006,5.78,13.034999999999995,4.132,182,0.6244646464646466,0.4854646464646463,0.42830303030303024,7,10,6.254,1.443,1.109,0.82,2.404,2.907,4.617,4.132000000000001,128,0.622505376344086,0.4831182795698922,0.43254838709677423,7,10,6.254,1.443,1.109,0.82,2.404,2.907,4.617,4.132000000000001,0.26403782825297645,0.06092206366630077,0.04682090686481466,0.03461960651861859,0.10149455374482816,0.12273072701173689,0.19492527231275858,0.1744490416279659,0.06593406593406594,Tai Verdes,joy,0.3108587351177911,0.09554167018491935,0.22422528075656506,0.3693743139407245
3 outfits,happy_hits,492,0.6244646464646466,0.48546464646464654,0.4283030303030303,8,21,12.692999999999996,1.6460000000000001,1.1090000000000002,0.82,4.3740000000000006,5.78,13.034999999999995,4.132,182,0.6244646464646466,0.4854646464646463,0.42830303030303024,7,10,6.254,1.443,1.109,0.82,2.404,2.907,4.617,4.132000000000001,128,0.622505376344086,0.4831182795698922,0.43254838709677423,7,10,6.254,1.443,1.109,0.82,2.404,2.907,4.617,4.132000000000001,0.26403782825297645,0.06092206366630077,0.04682090686481466,0.03461960651861859,0.10149455374482816,0.12273072701173689,0.19492527231275858,0.1744490416279659,0.06593406593406594,Tai Verdes,anticipation,0.3108587351177911,0.09554167018491935,0.22422528075656506,0.3693743139407245
