title,playlist,n_words,arousal,dominance,valence,negative,positive,surprise,trust,fear,disgust,anger,joy,anticipation,sadness,u_n_words,u_arousal,u_dominance,u_valence,u_negative,u_positive,u_surprise,u_trust,u_fear,u_disgust,u_anger,u_joy,u_anticipation,u_sadness,s_n_words,s_arousal,s_dominance,s_valence,s_negative,s_positive,s_surprise,s_trust,s_fear,s_disgust,s_anger,s_joy,s_anticipation,s_sadness,surprise_ratio,trust_ratio,fear_ratio,disgust_ratio,anger_ratio,joy_ratio,anticipation_ratio,sadness_ratio,sentiment,artist,wheel_playlist
Time,teen_angst,165,0.46451111111111115,0.48546666666666677,0.5131555555555556,10,11,3,9,7,6,10,9,10,4,96,0.464511111111111,0.48546666666666644,0.5131555555555558,9,8,3,5,7,5,9,6,7,4,63,0.46939534883720924,0.48811627906976723,0.5145813953488374,9,8,3,5,7,5,9,6,7,4,0.05172413793103448,0.15517241379310345,0.1206896551724138,0.10344827586206896,0.1724137931034483,0.15517241379310345,0.1724137931034483,0.06896551724137931,0.024242424242424242,Vundabar,disgust
Time,teen_angst,165,0.46451111111111115,0.48546666666666677,0.5131555555555556,10,11,3,9,7,6,10,9,10,4,96,0.464511111111111,0.48546666666666644,0.5131555555555558,9,8,3,5,7,5,9,6,7,4,63,0.46939534883720924,0.48811627906976723,0.5145813953488374,9,8,3,5,7,5,9,6,7,4,0.05172413793103448,0.15517241379310345,0.1206896551724138,0.10344827586206896,0.1724137931034483,0.15517241379310345,0.1724137931034483,0.06896551724137931,0.024242424242424242,Vundabar,anger
Time,teen_angst,165,0.46451111111111115,0.48546666666666677,0.5131555555555556,10,11,3,9,7,6,10,9,10,4,96,0.464511111111111,0.48546666666666644,0.5131555555555558,9,8,3,5,7,5,9,6,7,4,63,0.46939534883720924,0.48811627906976723,0.5145813953488374,9,8,3,5,7,5,9,6,7,4,0.05172413793103448,0.15517241379310345,0.1206896551724138,0.10344827586206896,0.1724137931034483,0.15517241379310345,0.1724137931034483,0.06896551724137931,0.024242424242424242,Vundabar,joy
Time,teen_angst,165,0.46451111111111115,0.48546666666666677,0.5131555555555556,10,11,3,9,7,6,10,9,10,4,96,0.464511111111111,0.48546666666666644,0.5131555555555558,9,8,3,5,7,5,9,6,7,4,63,0.46939534883720924,0.48811627906976723,0.5145813953488374,9,8,3,5,7,5,9,6,7,4,0.05172413793103448,0.15517241379310345,0.1206896551724138,0.10344827586206896,0.1724137931034483,0.15517241379310345,0.1724137931034483,0.06896551724137931,0.024242424242424242,Vundabar,anticipation
Turbulent,teen_angst,314,0.45302702702702696,0.5062972972972974,0.5823783783783784,8,5,1,2,4,1,2,3,2,5,106,0.453027027027027,0.5062972972972974,0.5823783783783785,5,5,1,2,4,1,2,3,2,5,64,0.46481818181818174,0.5066060606060607,0.5824242424242424,5,5,1,2,4,1,2,3,2,5,0.05,0.1,0.2,0.05,0.1,0.15,0.1,0.25,-0.03821656050955414,Waterparks,sadness
Turbulent,teen_angst,314,0.45302702702702696,0.5062972972972974,0.5823783783783784,8,5,1,2,4,1,2,3,2,5,106,0.453027027027027,0.5062972972972974,0.5823783783783785,5,5,1,2,4,1,2,3,2,5,64,0.46481818181818174,0.5066060606060607,0.5824242424242424,5,5,1,2,4,1,2,3,2,5,0.05,0.1,0.2,0.05,0.1,0.15,0.1,0.25,-0.03821656050955414,Waterparks,fear
Turbulent,teen_angst,314,0.45302702702702696,0.5062972972972974,0.5823783783783784,8,5,1,2,4,1,2,3,2,5,106,0.453027027027027,0.5062972972972974,0.5823783783783785,5,5,1,2,4,1,2,3,2,5,64,0.46481818181818174,0.5066060606060607,0.5824242424242424,5,5,1,2,4,1,2,3,2,5,0.05,0.1,0.2,0.05,0.1,0.15,0.1,0.25,-0.03821656050955414,Waterparks,joy
Twin Size Mattress,teen_angst,359,0.4483095238095238,0.48407142857142865,0.566095238095238,13,20,6,12,12,3,3,16,15,9,163,0.44830952380952366,0.4840714285714287,0.5660952380952381,13,12,6,7,9,3,3,8,9,6,115,0.4541688311688311,0.48180519480519496,0.5635584415584416,13,12,6,7,9,3,3,8,9,6,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.039473684210526314,0.039473684210526314,0.21052631578947367,0.19736842105263158,0.11842105263157894,0.07799442896935933,The Front Bottoms,surprise
Twin Size Mattress,teen_angst,359,0.4483095238095238,0.48407142857142865,0.566095238095238,13,20,6,12,12,3,3,16,15,9,163,0.44830952380952366,0.4840714285714287,0.5660952380952381,13,12,6,7,9,3,3,8,9,6,115,0.4541688311688311,0.48180519480519496,0.5635584415584416,13,12,6,7,9,3,3,8,9,6,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.039473684210526314,0.039473684210526314,0.21052631578947367,0.19736842105263158,0.11842105263157894,0.07799442896935933,The Front Bottoms,fear
Twin Size Mattress,teen_angst,359,0.4483095238095238,0.48407142857142865,0.566095238095238,13,20,6,12,12,3,3,16,15,9,163,0.44830952380952366,0.4840714285714287,0.5660952380952381,13,12,6,7,9,3,3,8,9,6,115,0.4541688311688311,0.48180519480519496,0.5635584415584416,13,12,6,7,9,3,3,8,9,6,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.039473684210526314,0.039473684210526314,0.21052631578947367,0.19736842105263158,0.11842105263157894,0.07799442896935933,The Front Bottoms,joy
